Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2019,"NYY",162,103,59,4.309771702304724,707,162,53,1,1,50,101,25,1443,6133,1374,739,691,248,507,12,44,55,5,1534
2022,"MIL",162,86,76,3.8277998690541146,710,162,63,0,0,52,103,29,1446,6057,1238,688,615,190,521,12,67,47,4,1530
2021,"BOS",162,92,70,4.274842682455479,725,162,39,0,0,49,93,25,1419,6147,1409,749,674,176,546,31,79,63,6,1527
2021,"CIN",162,83,79,4.41110821838164,741,162,68,1,1,41,73,25,1434.1,6199,1330,760,703,206,617,30,64,62,8,1524
2022,"HOU",162,106,56,2.895528729687411,642,162,94,3,1,53,102,16,1445.1,5856,1121,518,465,134,458,6,60,56,6,1524
2019,"NYM",162,86,76,4.250514515625187,664,162,83,3,3,38,59,27,1461,6232,1405,737,690,204,500,40,60,47,2,1520
2019,"LAD",162,106,56,3.3928998706471405,707,162,80,3,1,44,74,28,1445.2,5913,1201,613,545,185,392,24,66,40,7,1519
2021,"SDP",162,79,83,4.097205054374808,786,162,42,2,2,43,81,23,1430,6056,1277,708,651,205,516,33,87,57,2,1517
2019,"WSN",162,93,69,4.276981424282366,692,162,87,1,1,40,94,29,1439.1,6134,1340,724,684,202,517,41,61,53,5,1511
2016,"LAD",162,91,71,3.7040608910360304,768,162,60,3,3,47,100,22,1453,6014,1266,638,598,165,464,51,53,58,5,1510
2019,"CLE",162,93,69,3.793646019115658,684,162,81,6,5,42,77,16,1437.2,6008,1308,657,606,207,450,19,62,42,2,1508
2019,"MIL",162,89,73,4.403378133079261,750,162,34,0,0,50,104,27,1459.1,6251,1364,766,714,225,570,28,60,41,3,1497
2017,"ARI",162,93,69,3.672452173263587,675,162,82,2,1,43,92,19,1441,6072,1309,659,588,171,516,45,38,82,5,1482
2021,"PHI",162,82,80,4.390036365517036,687,162,58,5,4,36,68,34,1418.2,6055,1321,745,692,200,509,37,75,49,5,1480
2021,"TBR",162,100,62,3.6725462332210994,693,162,33,1,0,42,85,22,1455.2,5998,1264,651,594,184,436,27,55,64,6,1478
2016,"WSN",162,95,67,3.520666902100092,670,162,92,1,0,46,91,14,1459.2,6036,1272,612,571,155,468,43,57,47,4,1476
2019,"SDP",162,70,92,4.6319818426262245,705,162,49,0,0,47,96,25,1432,6160,1394,789,737,215,463,19,68,60,6,1475
2021,"TOR",162,91,71,3.906545429706364,698,162,68,1,1,34,58,18,1405.1,5916,1257,663,610,209,473,10,75,54,4,1468
2018,"PHI",162,80,82,4.146183281319388,758,162,71,0,0,44,104,20,1445.2,6138,1366,728,666,171,500,35,60,81,7,1465
2022,"LAD",162,111,51,2.79673913346031,725,162,68,1,1,43,90,18,1451.1,5865,1114,513,451,152,407,13,75,38,3,1465
2019,"MIN",162,101,61,4.182233187662597,686,162,67,1,0,50,102,22,1463.1,6246,1456,754,680,198,452,10,61,71,5,1463
2022,"NYY",162,99,63,3.3044773027480936,669,162,68,1,1,47,80,21,1451.2,5938,1177,567,533,157,444,10,65,40,5,1459
2017,"WSN",162,97,65,3.8820284756716372,649,162,99,3,1,46,88,17,1446.2,6068,1300,672,624,189,495,39,60,44,5,1457
2021,"HOU",162,95,67,3.7993069460844553,674,162,66,2,0,34,68,27,1445,6060,1231,658,610,187,549,12,70,72,4,1456
2021,"LAA",162,77,85,4.690974789619303,724,162,45,1,0,39,68,25,1421.2,6196,1373,804,741,188,592,18,76,56,11,1453
2021,"NYM",162,77,85,3.895360551149678,705,162,51,2,1,41,72,27,1379.1,5785,1221,668,597,190,475,21,70,53,1,1453
2022,"SDP",162,89,73,3.809931035224342,649,162,84,0,0,48,70,22,1443.1,6047,1263,660,611,173,468,6,88,54,5,1451
2014,"CLE",162,85,77,3.57343912288582,735,162,78,6,4,40,76,22,1468.1,6193,1398,653,583,135,464,51,58,56,2,1450
2022,"CHW",162,81,81,3.9352983538104063,711,162,67,2,1,48,102,22,1447.2,6145,1330,717,633,166,533,15,51,64,6,1450
2018,"ARI",162,82,80,3.7279563308206223,735,162,78,2,1,39,111,27,1463,6139,1313,644,606,174,522,43,57,69,5,1448
2018,"NYM",162,77,85,4.072800098189618,663,162,80,3,1,41,65,17,1460.2,6178,1364,707,661,185,484,32,71,26,2,1446
